ESTADO;ANO;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento
ACRE;2013;805014;403747;401267;17142;3930;1.64;21.29;4.88;72.89;69.66;76.56;19.18;20.93;17.34;2.41;54.34;7.16;61.5;13.1
ACRE;2014;818273;410212;408061;17857;3961;1.65;21.82;4.84;73.26;70.02;76.9;18.37;20.03;16.62;2.46;52.7;7.25;59.94;13.68
ACRE;2015;831665;416747;414918;17461;3995;1.64;21;4.8;73.61;70.37;77.23;17.63;19.21;15.97;2.37;51.14;7.35;58.48;14.24
ACRE;2016;844137;422813;421324;16068;4019;1.5;19.03;4.76;73.94;70.7;77.54;16.95;18.46;15.37;2.15;49.41;7.47;56.88;15.24
ACRE;2017;856457;428803;427654;17213;4061;1.46;20.1;4.74;74.25;71.01;77.83;16.34;17.78;14.83;2.26;47.74;7.6;55.34;15.96
ACRE;2018;869265;435044;434221;17136;4122;1.5;19.71;4.74;74.55;71.31;78.1;15.78;17.16;14.33;2.22;46.26;7.75;54.02;16.67
ACRE;2019;881935;441216;440719;17047;4178;1.46;19.33;4.74;74.83;71.6;78.36;15.27;16.6;13.88;2.18;44.96;7.92;52.89;17.69
ACRE;2020;894470;447320;447150;16975;4240;1.42;18.98;4.74;75.09;71.87;78.6;14.81;16.09;13.48;2.14;43.66;8.1;51.76;18.4
ALAGOAS;2013;3247527;1568655;1678872;54896;22782;0.52;16.9;7.02;70.44;65.78;75.28;24.03;25.47;22.51;1.88;42.28;9.73;52.01;23.02
ALAGOAS;2014;3263524;1574565;1688959;53428;22759;0.49;16.37;6.97;70.84;66.15;75.69;22.36;23.58;21.07;1.82;40.86;9.92;50.78;24.35
ALAGOAS;2015;3279222;1580342;1698880;53802;22771;0.48;16.41;6.94;71.23;66.53;76.07;20.86;21.89;19.77;1.83;39.56;10.13;49.69;25.76
ALAGOAS;2016;3293629;1585481;1708148;50391;22792;0.44;15.3;6.92;71.6;66.89;76.44;19.53;20.41;18.6;1.71;38.33;10.36;48.69;27.13
ALAGOAS;2017;3307532;1590391;1717141;52398;22863;0.42;15.84;6.91;71.97;67.24;76.8;18.34;19.09;17.55;1.77;37.18;10.61;47.79;28.57
ALAGOAS;2018;3322379;1595815;1726564;51984;22986;0.45;15.65;6.92;72.32;67.59;77.13;17.29;17.94;16.61;1.76;36.2;10.89;47.08;30.08
ALAGOAS;2019;3336911;1601112;1735799;51523;23106;0.44;15.44;6.92;72.65;67.93;77.46;16.37;16.93;15.78;1.75;35.36;11.18;46.54;31.54
ALAGOAS;2020;3351092;1606269;1744823;51049;23241;0.42;15.23;6.94;72.98;68.26;77.76;15.56;16.04;15.04;1.74;34.59;11.49;46.08;33.33
AMAPÁ;2013;744809;373140;371669;16591;3282;2.31;22.28;4.41;73.09;70.34;76.08;23.88;24.28;23.47;2.38;50.77;5.56;56.33;11.08
AMAPÁ;2014;762156;381800;380356;16746;3356;2.33;21.97;4.4;73.38;70.69;76.31;23.67;24.05;23.25;2.35;49.25;5.63;54.88;11.32
AMAPÁ;2015;779416;390417;388999;16681;3418;2.26;21.4;4.39;73.66;71.02;76.53;23.45;23.84;23.04;2.29;47.82;5.72;53.54;11.9
AMAPÁ;2016;796419;398904;397515;16484;3483;2.18;20.7;4.37;73.93;71.33;76.74;23.24;23.62;22.83;2.22;46.28;5.84;52.11;12.5
AMAPÁ;2017;813084;407218;405866;16264;3550;2.09;20;4.37;74.19;71.62;76.94;23.03;23.41;22.62;2.15;44.9;5.98;50.88;13.42
AMAPÁ;2018;829494;415402;414092;16239;3624;2.02;19.58;4.37;74.43;71.9;77.14;22.82;23.2;22.41;2.11;43.59;6.15;49.75;14.09
AMAPÁ;2019;845731;423498;422233;16202;3704;1.96;19.16;4.38;74.66;72.17;77.33;22.61;22.99;22.21;2.07;42.46;6.35;48.81;15.09
AMAPÁ;2020;861773;431494;430279;16139;3789;1.9;18.73;4.4;74.88;72.41;77.52;22.41;22.79;22;2.04;41.57;6.57;48.14;15.66
AMAZONAS;2013;3751293;1887797;1863496;83861;20356;1.82;22.36;5.43;71.17;67.98;74.7;20.03;22.04;17.91;2.46;49.68;6.56;56.24;13.21
AMAZONAS;2014;3819636;1921573;1898063;86433;20662;1.82;22.63;5.41;71.42;68.2;74.98;19.38;21.38;17.28;2.49;48.48;6.64;55.12;13.74
AMAZONAS;2015;3887740;1955183;1932557;84097;20954;1.78;21.63;5.39;71.67;68.42;75.25;18.77;20.76;16.69;2.39;47.46;6.74;54.2;14.29
AMAZONAS;2016;3952171;1986871;1965300;79746;21202;1.66;20.18;5.36;71.91;68.64;75.51;18.21;20.17;16.14;2.24;46.32;6.87;53.19;14.9
AMAZONAS;2017;4015812;2018116;1997696;83212;21533;1.61;20.72;5.36;72.14;68.86;75.77;17.67;19.62;15.62;2.31;45.4;7.02;52.42;15.44
AMAZONAS;2018;4080611;2049916;2030695;82900;21920;1.61;20.32;5.37;72.37;69.07;76.01;17.17;19.11;15.13;2.28;44.69;7.2;51.89;15.99
AMAZONAS;2019;4144597;2081262;2063335;82462;22295;1.57;19.9;5.38;72.59;69.27;76.25;16.7;18.62;14.68;2.25;44.09;7.4;51.49;16.84
AMAZONAS;2020;4207714;2112128;2095586;82049;22688;1.52;19.5;5.39;72.81;69.47;76.48;16.26;18.17;14.25;2.22;43.43;7.61;51.04;17.36
BAHIA;2013;14505033;7099339;7405694;208757;101360;0.44;14.39;6.99;72.73;68.4;77.36;19.86;21.05;18.62;1.63;35.75;11.33;47.08;31.69
BAHIA;2014;14565807;7121398;7444409;210147;102078;0.42;14.43;7.01;72.99;68.62;77.65;18.95;19.99;17.86;1.65;34.69;11.55;46.24;33.33
BAHIA;2015;14629018;7144691;7484327;213747;102965;0.43;14.61;7.04;73.23;68.83;77.92;18.11;19.02;17.15;1.68;33.77;11.78;45.55;34.91
BAHIA;2016;14689684;7166690;7522994;205329;103835;0.41;13.98;7.07;73.47;69.04;78.18;17.35;18.14;16.51;1.62;32.96;12.04;45;36.56
BAHIA;2017;14749868;7188472;7561396;213140;104810;0.41;14.45;7.11;73.71;69.25;78.43;16.64;17.35;15.91;1.69;32.26;12.31;44.57;38.12
BAHIA;2018;14812617;7211608;7601009;211097;105960;0.43;14.25;7.15;73.93;69.46;78.67;16.01;16.63;15.36;1.69;31.63;12.6;44.23;39.73
BAHIA;2019;14872858;7233509;7639349;208921;107095;0.41;14.05;7.2;74.15;69.66;78.9;15.43;15.97;14.85;1.68;31.05;12.92;43.97;41.67
BAHIA;2020;14930424;7254101;7676323;206595;108295;0.39;13.84;7.25;74.36;69.86;79.11;14.89;15.38;14.38;1.68;30.52;13.28;43.8;43.4
CEARÁ;2013;8792607;4280105;4512502;129636;61979;0.62;14.74;7.05;73.15;69.22;77.16;16.65;18.12;15.1;1.65;35.76;11.74;47.5;33.06
CEARÁ;2014;8847031;4304146;4542885;130986;62444;0.62;14.81;7.06;73.39;69.46;77.39;15.81;17.16;14.4;1.66;34.57;11.89;46.46;34.32
CEARÁ;2015;8905267;4330182;4575085;137806;62959;0.66;15.47;7.07;73.62;69.69;77.62;15.07;16.3;13.77;1.74;33.64;12.06;45.7;35.93
CEARÁ;2016;8962834;4355918;4606916;130201;63430;0.65;14.53;7.08;73.85;69.91;77.85;14.4;15.54;13.2;1.64;32.9;12.24;45.14;37
CEARÁ;2017;9018764;4380860;4637904;135072;63931;0.62;14.98;7.09;74.07;70.13;78.06;13.79;14.85;12.67;1.7;32.27;12.45;44.72;38.57
CEARÁ;2018;9076426;4406739;4669687;134319;64518;0.64;14.8;7.11;74.28;70.34;78.26;13.24;14.23;12.2;1.7;31.8;12.67;44.47;40
CEARÁ;2019;9132858;4432035;4700823;133350;65101;0.62;14.6;7.13;74.48;70.55;78.46;12.75;13.68;11.77;1.69;31.43;12.91;44.35;40.83
CEARÁ;2020;9187886;4456662;4731224;132295;65736;0.6;14.4;7.15;74.68;70.75;78.65;12.31;13.19;11.38;1.69;31.05;13.17;44.21;42.33
DISTRITO FEDERAL;2013;2763488;1325368;1438120;43078;11509;1.52;15.59;4.16;77.28;73.53;80.75;11.22;12.06;10.35;1.65;32.12;7.76;39.87;23.91
DISTRITO FEDERAL;2014;2805774;1346039;1459735;44406;11774;1.53;15.83;4.2;77.57;73.84;81.01;10.99;11.8;10.13;1.7;31.27;8.07;39.34;25.89
DISTRITO FEDERAL;2015;2848633;1367015;1481618;45095;12058;1.53;15.83;4.23;77.85;74.13;81.27;10.76;11.55;9.92;1.71;30.51;8.4;38.91;27.27
DISTRITO FEDERAL;2016;2890224;1387354;1502870;42755;12334;1.46;14.79;4.27;78.12;74.41;81.51;10.53;11.3;9.72;1.62;29.67;8.75;38.42;29.44
DISTRITO FEDERAL;2017;2931057;1407318;1523739;44484;12644;1.41;15.18;4.31;78.37;74.68;81.74;10.32;11.07;9.53;1.68;28.92;9.12;38.04;31.58
DISTRITO FEDERAL;2018;2972209;1427459;1544750;44364;12982;1.4;14.93;4.37;78.62;74.94;81.96;10.11;10.84;9.34;1.68;28.27;9.51;37.79;33.66
DISTRITO FEDERAL;2019;3012718;1447284;1565434;44210;13333;1.36;14.67;4.43;78.85;75.19;82.18;9.91;10.63;9.15;1.68;27.68;9.92;37.61;35.82
DISTRITO FEDERAL;2020;3052546;1466775;1585771;44045;13701;1.32;14.43;4.49;79.08;75.43;82.38;9.71;10.42;8.98;1.67;27.1;10.35;37.45;38.07
ESPIRITO SANTO;2013;3736386;1841035;1895351;56785;20396;1.27;15.2;5.46;77.14;73.19;81.31;10.14;11.6;8.6;1.8;32.29;10.97;43.26;34.22
ESPIRITO SANTO;2014;3784361;1864376;1919985;57964;20676;1.28;15.32;5.46;77.51;73.58;81.64;9.64;11.06;8.15;1.83;31.73;11.31;43.04;35.59
ESPIRITO SANTO;2015;3832826;1887984;1944842;58703;20979;1.28;15.32;5.47;77.85;73.95;81.95;9.19;10.56;7.74;1.85;31.29;11.69;42.98;37.44
ESPIRITO SANTO;2016;3879376;1910629;1968747;55091;21282;1.21;14.2;5.49;78.18;74.31;82.24;8.78;10.11;7.38;1.73;30.84;12.13;42.97;39.35
ESPIRITO SANTO;2017;3925341;1932993;1992348;58530;21624;1.18;14.91;5.51;78.49;74.65;82.5;8.42;9.71;7.06;1.84;30.52;12.61;43.13;41.31
ESPIRITO SANTO;2018;3972388;1955930;2016458;58342;22016;1.2;14.69;5.54;78.79;74.97;82.76;8.09;9.34;6.77;1.83;30.31;13.14;43.45;43.6
ESPIRITO SANTO;2019;4018650;1978483;2040167;58106;22419;1.16;14.46;5.58;79.06;75.27;82.99;7.79;9;6.52;1.83;30.12;13.71;43.83;45.45
ESPIRITO SANTO;2020;4064052;2000614;2063438;57810;22854;1.13;14.22;5.62;79.32;75.56;83.21;7.52;8.7;6.29;1.83;29.99;14.3;44.28;47.6
GOIÁS;2013;6417591;3186973;3230618;97318;38815;1.6;15.16;6.05;73.66;70.58;76.95;16.24;17.35;15.07;1.74;32.85;9.58;42.43;29
GOIÁS;2014;6520857;3237569;3283288;102095;39820;1.61;15.66;6.11;73.83;70.74;77.14;15.79;16.87;14.64;1.81;32.28;9.82;42.1;30.4
GOIÁS;2015;6625528;3288834;3336694;103506;40835;1.61;15.62;6.16;74;70.9;77.33;15.35;16.41;14.23;1.82;31.86;10.08;41.94;31.7
GOIÁS;2016;6726130;3337975;3388155;97279;41786;1.52;14.46;6.21;74.17;71.06;77.51;14.93;15.97;13.83;1.71;31.54;10.36;41.9;32.88
GOIÁS;2017;6824504;3385940;3438564;102373;42799;1.46;15;6.27;74.34;71.21;77.68;14.52;15.54;13.45;1.79;31.21;10.67;41.88;34.09
GOIÁS;2018;6923655;3434271;3489384;102288;43885;1.45;14.77;6.34;74.5;71.36;77.86;14.14;15.13;13.09;1.79;30.96;10.99;41.95;35.32
GOIÁS;2019;7020904;3481598;3539306;102081;44952;1.4;14.54;6.4;74.67;71.51;78.03;13.76;14.74;12.74;1.78;30.76;11.34;42.1;37.04
GOIÁS;2020;7116143;3527872;3588271;101776;46036;1.36;14.3;6.47;74.83;71.66;78.2;13.41;14.36;12.4;1.77;30.59;11.7;42.29;38.14
MARANHÃO;2013;6836179;3380783;3455396;119493;49221;0.55;17.48;7.2;69.68;65.98;73.67;24.75;27.29;22.07;1.91;45.8;9.78;55.58;21.43
MARANHÃO;2014;6875302;3396747;3478555;122820;49458;0.57;17.86;7.19;69.98;66.27;73.96;23.52;25.84;21.06;1.96;44.38;9.88;54.26;22.22
MARANHÃO;2015;6916244;3413714;3502530;122587;49714;0.6;17.72;7.19;70.28;66.56;74.25;22.37;24.5;20.12;1.95;43.14;10;53.14;23.05
MARANHÃO;2016;6955099;3429686;3525413;118069;49916;0.56;16.98;7.18;70.57;66.85;74.52;21.3;23.27;19.23;1.87;42.16;10.15;52.31;24.19
MARANHÃO;2017;6994148;3445834;3548314;122420;50195;0.56;17.5;7.18;70.85;67.14;74.79;20.32;22.14;18.41;1.95;41.39;10.33;51.73;24.91
MARANHÃO;2018;7035055;3463008;3572047;121386;50550;0.58;17.25;7.19;71.13;67.42;75.06;19.41;21.1;17.64;1.93;40.42;10.51;50.93;26.12
MARANHÃO;2019;7075181;3479859;3595322;120504;50877;0.57;17.03;7.19;71.41;67.69;75.32;18.58;20.14;16.93;1.91;39.39;10.68;50.08;27.1
MARANHÃO;2020;7114598;3496428;3618170;119620;51238;0.56;16.81;7.2;71.67;67.96;75.57;17.81;19.26;16.27;1.9;38.4;10.86;49.26;28.4
MATO GROSSO;2013;3226030;1643522;1582508;54405;17734;1.28;16.86;5.5;73.46;70.35;77.11;18.14;19.55;16.66;1.94;35.87;8.11;43.98;22.49
MATO GROSSO;2014;3269448;1664325;1605123;58730;18121;1.35;17.96;5.54;73.72;70.61;77.36;17.71;19.11;16.24;2.09;35.28;8.37;43.65;23.58
MATO GROSSO;2015;3314540;1685970;1628570;58678;18506;1.38;17.7;5.58;73.97;70.87;77.61;17.3;18.67;15.84;2.08;34.87;8.65;43.52;24.69
MATO GROSSO;2016;3356979;1706243;1650736;54277;18824;1.28;16.17;5.61;74.22;71.12;77.84;16.89;18.26;15.45;1.93;34.51;8.97;43.48;26.14
MATO GROSSO;2017;3398791;1726185;1672606;58267;19199;1.25;17.14;5.65;74.47;71.37;78.08;16.49;17.85;15.07;2.07;34.24;9.31;43.55;27.2
MATO GROSSO;2018;3441998;1746832;1695166;58015;19622;1.27;16.86;5.7;74.71;71.61;78.3;16.12;17.46;14.71;2.06;34.04;9.68;43.72;28.27
MATO GROSSO;2019;3484466;1767091;1717375;57774;20032;1.23;16.58;5.75;74.94;71.84;78.52;15.75;17.08;14.36;2.06;33.8;10.07;43.87;29.79
MATO GROSSO;2020;3526220;1786977;1739243;57571;20454;1.2;16.33;5.8;75.17;72.07;78.74;15.4;16.71;14.02;2.05;33.47;10.47;43.94;31.33
MATO GROSSO DO SUL;2013;2589069;1288460;1300609;43298;15337;1.24;16.72;5.92;74.71;71.3;78.44;15.42;16.66;14.12;1.97;35.11;10.38;45.49;29.46
MATO GROSSO DO SUL;2014;2621214;1303844;1317370;44872;15576;1.24;17.12;5.94;75;71.59;78.71;14.94;16.16;13.65;2.04;34.58;10.66;45.24;30.67
MATO GROSSO DO SUL;2015;2653928;1319520;1334408;45027;15819;1.25;16.97;5.96;75.28;71.86;78.97;14.48;15.69;13.2;2.04;34.2;10.97;45.17;32.2
MATO GROSSO DO SUL;2016;2685454;1334589;1350865;43089;16056;1.19;16.05;5.98;75.54;72.13;79.23;14.04;15.25;12.77;1.95;33.92;11.32;45.25;33.33
MATO GROSSO DO SUL;2017;2716534;1349434;1367100;44747;16321;1.16;16.47;6.01;75.8;72.39;79.47;13.62;14.82;12.37;2.03;33.75;11.71;45.46;34.48
MATO GROSSO DO SUL;2018;2748023;1364494;1383529;44573;16609;1.16;16.22;6.04;76.06;72.64;79.71;13.23;14.41;11.99;2.02;33.6;12.12;45.72;35.93
MATO GROSSO DO SUL;2019;2778986;1379290;1399696;44391;16906;1.13;15.97;6.08;76.3;72.88;79.94;12.86;14.03;11.62;2.02;33.42;12.55;45.96;37.55
MATO GROSSO DO SUL;2020;2809394;1393810;1415584;44180;17214;1.09;15.73;6.13;76.53;73.12;80.16;12.5;13.67;11.28;2.01;33.24;13;46.24;39.21
MINAS GERAIS;2013;20371328;10031255;10340073;263888;127286;0.67;12.95;6.25;76.41;73.46;79.43;12.56;13.33;11.75;1.56;30.07;12.65;42.71;42.18
MINAS GERAIS;2014;20508631;10098642;10409989;273083;129229;0.67;13.32;6.3;76.7;73.77;79.68;11.97;12.68;11.21;1.62;29.27;13.01;42.28;44.17
MINAS GERAIS;2015;20648978;10167615;10481363;273883;131286;0.68;13.26;6.36;76.97;74.06;79.93;11.41;12.08;10.71;1.62;28.63;13.42;42.04;46.53
MINAS GERAIS;2016;20780264;10231969;10548295;258888;133250;0.64;12.46;6.41;77.24;74.35;80.17;10.9;11.53;10.24;1.53;28.04;13.85;41.89;49.49
MINAS GERAIS;2017;20908628;10294859;10613769;272091;135431;0.62;13.01;6.48;77.49;74.62;80.4;10.42;11.02;9.79;1.62;27.59;14.33;41.92;52.06
MINAS GERAIS;2018;21040662;10359652;10681010;270645;137760;0.63;12.86;6.55;77.73;74.88;80.62;9.98;10.54;9.38;1.62;27.27;14.85;42.11;54.17
MINAS GERAIS;2019;21168791;10422468;10746323;268889;140135;0.61;12.7;6.62;77.96;75.13;80.84;9.56;10.11;8.99;1.61;27;15.4;42.4;56.84
MINAS GERAIS;2020;21292666;10483131;10809535;266845;142558;0.59;12.53;6.7;78.19;75.37;81.04;9.18;9.7;8.63;1.61;26.77;15.98;42.76;59.57
PARÁ;2013;8054419;4056010;3998409;147957;46204;1.18;18.37;5.74;71.51;67.94;75.55;18.26;20.71;15.67;2;45.57;7.67;53.23;16.84
PARÁ;2014;8149418;4101424;4047994;149988;46915;1.18;18.4;5.76;71.71;68.1;75.8;17.65;20.04;15.14;2.01;44.17;7.78;51.95;17.53
